Stones #{}597
sto1.lua #{}133
stones: {
rock				Rock
sku2_l				*4 LeftHalf SkewSlab
skub2_l*			*4 LeftHalf SkewSlab Rubble
skus_r*			    *4 RightHalf SkewSlab over Slab
skubs_r*			*4 RightHalf SkewSlab over Slab Rubble
sku2_lc*			*4 LeftHalf SkewSlab Cornered
skub2_lc*			*4 LeftHalf SkewSlab Cornered Rubble
sku2_lk*			*4 LeftHalf SkewSlab Siding
skub2_lk*			*4 LeftHalf SkewSlab Siding Rubble
sku3_l				R3 SkewSlab
skub3_l*			R3 SkewSlab Rubble
sku3_r				R3 SkewSlab Alt
skub3_r*			R3 SkewSlab Alt Rubble
diagsteps			*3 Diagonal Steps
diagsterps*			*3 Diagonal Steps Rubble
dia9s16ps*			*3 Diagonal Steps 9/16
d16gster9s*			*3 Diagonal Steps 9/16 Rubble
d1a8s7eps*			*3 Diagonal Steps 1+7/16
d7a8s1erps*			*3 Diagonal Steps 1+7/16 Rubble
diagstep			Diagonal Step
diagsterp*			Diagonal Step Rubble
arch				Arch
aruch*				Arch Rubble
arsh				Shallow Arch
arush*				Shallow Arch Rubble
arschol				Shallow to Arch Outer Left
aruschol*				Shallow to Arch Outer Left Rubble
arcshol				Arch to Shallow Left
arucshol*				Arch to Shallow Left Rubble
arschor				Shallow to Arch Right
aruschor*				Shallow to Arch Right Rubble
arcshor				Arch to Shallow Right
arucshor*				Arch to Shallow Right Rubble
arco				Outer Arc
aruco*				Outer Arc Rubble
arci				Inner Arc
aruci*				Inner Arc Rubble
}

sto2.lua #{}102
stones: {
s_222				R2 Diagsteps 1/8 1/2
sb_222*				R2 Diagsteps 1/8 1/2 Rubble
diagstep_2s			*2 Diagonal Step 1/8+1/2
diagsterp_2s			*2 Diagonal Step 1/8+1/2 Rubble
r_2		        	Root 2 Slope Rush
brush_2*             Root 2 Slope Brush
r_3		        	Root 2 Slope Rush
brush_3*             Root 2 Slope Brush
r_4                    Root 2 InsetNsecting Rush
brush_4*             Root 2 InsetNsecting Brush
rubble_2*            Root 2 Slope Rubble
s_2					Root 2 Slope
s_52				*4 R5/2 Slope LowHalf
sb_52*				*4 R5/2 Slope LowHalf Rubble
s_52k*				*4 R5/2 Slope LowHalf Siding
sb_52k*				*4 R5/2 Slope LowHalf Siding Rubble
s_52dkl*			*4 R5/2 Slope LowHalf Siding Left
sb_52dkl*			*4 R5/2 Slope LowHalf Siding Rubble Left
s_52dkr*			*4 R5/2 Slope LowHalf Siding Right
sb_52dkr*			*4 R5/2 Slope LowHalf Siding Rubble Right
s_252l				*3 R2, R5/2 Left
sb_252l*			*3 R2, R5/2 Left Rubble
s_h52l*				*3 High-half, R5/2 Left
sb_h52l*			*3 High-half, R5/2 Left Rubble
s_h25l*				*3 High-half, R2 R5/2 Left
sb_h25l*			*3 High-half, R2 R5/2 Left Rubble
s_252r				*3 R2, R5/2 Right
sb_252r*			*3 R2, R5/2 Right Rubble
s_h52r*				*3 High-half, R5/2 Right
sb_h52r*			*3 High-half, R5/2 Right Rubble
s_h25r*				*3 High-half, R2 R5/2 Right
sb_h25r*			*3 High-half, R2 R5/2 Right Rubble
s_52pr				R5/2 Slope LowHalf Pyramid Right
sb_52pr*				R5/2 Slope LowHalf Pyramid Right Rubble
s_52pl				R5/2 Slope LowHalf Pyramid Left
sb_52pl*				R5/2 Slope LowHalf Pyramid Left Rubble
s_52l				*2 R5/2 Slope LowHalf Left
sb_52l*				*2 R5/2 Slope LowHalf Left Rubble
s_52kl*				*2 R5/2 Slope LowHalf Siding Left
sb_52kl*			*2 R5/2 Slope LowHalf Siding Left Rubble
s_52r				*2 R5/2 Slope LowHalf Right
sb_52r*				*2 R5/2 Slope LowHalf Right Rubble
s_52kr*				*2 R5/2 Slope LowHalf Siding Right
sb_52kr*			*2 R5/2 Slope LowHalf Siding Right Rubble
s_22				*2 R2/2 Slope Edgefill
sb_22*				*2 R2/2 Slope Edgefill Rubble
s_22g*				*2 R2/2 Slope Edgefill Gotdots
sb_22g				*2 R2/2 Slope Edgefill Gotdots Rubble
s_21				R2 Slope 7/8
sb_21*				R2 Slope 7/8 Rubble
s_221				*2 R2 Slab 7/8 
sb_221*				*2 R2 Slab 7/8 Rubble
s_211				*2 R2 'V' Slab 6/8 
sb_211*				*2 R2 'V' Slab 6/8 Rubble
s_21u				*6 R2 Slope Upper 15/16
sb_21u*				*6 R2 Slope Upper 15/16 Rubble
diagsteps_83*        *6 R2 Slope Upper 11/16
diagsterps_83*       *6 R2 Slope Upper 11/16 Rubble
diagsteps_73*        *6 R2 Slope Upper 10/16
diagsterps_73*       *6 R2 Slope Upper 10/16 Rubble
diagsteps_43*        *6 R2 Slope Upper 7/16
diagsterps_43*       *6 R2 Slope Upper 7/16 Rubble
diagsteps_43l*        *6 R2 Slope Upper 9/32 Left
diagsterps_43l*       *6 R2 Slope Upper 9/32 Left Rubble
diagsteps_43r*        *6 R2 Slope Upper 9/32 Right
diagsterps_43r*       *6 R2 Slope Upper 9/32 Right Rubble
s_2216              R2/2 Slope Cornerfill 1/16
s_22162*            *2 R2/2 Slope Cornerfill 2/16
sb_22162*           *2 R2/2 Slope Cornerfill 2/16 Rubble
s_22l				R2/2 Slope Cornerfill
spike				Spike
spruke*				Spike Rubble
spikle				Spikle
sprukle*				Spikle Rubble
s_52u				*2 R5/2 Slope HighHalf
sb_52u*				*2 R5/2 Slope HighHalf Rubble
s_52uk*				*2 R5/2 Slope HighHalf -1/20 Siding
s_52urk*			*2 R5/2 Slope HighHalf -1/20 Siding Rubble
s_52hq				R5/2 Slope HighHalf to Quarter
sb_52hq*			R5/2 Slope HighHalf to Quarter Rubble
s_52ul				*3 R5/2 Slope HighHalf Left
sb_52ul*			*3 R5/2 Slope HighHalf Left Rubble
s_62ul*				*3 R5/2 Slope HighHalf Left
sb_62ul*			*3 R5/2 Slope HighHalf Left Rubble
s_3hjl*				*3 R3 HighHalf Joinder Left
sb_3hjl*			*3 R3 HighHalf Joinder Left Rubble
s_52ur				*3 R5/2 Slope HighHalf Right
sb_52ur*			*3 R5/2 Slope HighHalf Right Rubble
s_62ur*				*3 R6/2 Slope HighHalf Right
sb_62ur*			*3 R6/2 Slope HighHalf Right Rubble
s_3hjr*				*3 R3 HighHalf Joinder Right
sb_3hjr*			*3 R3 HighHalf Joinder Right Rubble
asect				*3 Apex Inset Nsecting
asectr*				*3 Apex Inset Nsecting Rubble
asect_2*				*3 Apex Inset Nsecting LowHalf
asectr_2*			*3 Apex Inset Nsecting LowHalf Rubble
asect_2u*			*3 Apex Inset Nsecting HighHalf
asectr_2u*			*3 Apex Inset Nsecting HighHalf Rubble
vsect				Vertex Filled Nsecting
vsectr*				Vertex Filled Nsecting Rubble
vsect_2				Vertex Filled Nsecting LowHalf
vsectr_2*				Vertex Filled Nsecting LowHalf Rubble
vsect_2u			Vertex Filled Nsecting HighHalf
vsectr_2u*			Vertex Filled Nsecting HighHalf Rubble
}

sto3.lua #{}79
stones: {
aset				*3 Apex Inset
asetr*				*3 Apex Inset Rubble
aset_2*				*3 Apex Inset LowHalf
asetr_2*			*3 Apex Inset LowHalf Rubble
aset_2u*			*3 Apex Inset HighHalf
asetr_2u*			*3 Apex Inset HighHalf Rubble
s_3					Root 3 Split
sb_3*					Root 3 Split Rubble
s_38                Truncated R2 3/8
sb_38*                Truncated R2 3/8 Rubble
s_58                Slabbed R2 5/8
sb_58*                Slabbed R2 5/8 Rubble
vr					Vertex Removed
vrbl*					Vertex Removed Rubble
vr_2				Vertex Removed LowHalf
vrbl_2*				Vertex Removed LowHalf Rubble
vr_2u				Vertex Removed HighHalf
vrbl_2u*				Vertex Removed HighHalf Rubble
micro				Microstone
micru*				Microstone Rubble
panel				Panel
parul*				Panel Rubble
flat_1				Flat
flart_1*				Flat Rubble
flat_2				Flat L
flart_2*				Flat L Rubble
flat_3				Flat K
flart_3*			Flat K Rubble
flat_3a				Flat U
flart_3a*				Flat U Rubble
stair_3				3 Step
strubl_3				3 Step Rubble
stair_2				2 Step
strubl_2*				2 Step Rubble
stair_2p            2 Step P
struble_2p*           2 Step P Rubble
stair_2q            2 Step Q
struble_2q*            2 Step Q Rubble
diagsteps_52lh		*3 Steps R5/2 Left to Horizontal
diagsterps_52lh*	*3 Steps R5/2 Left to Horizontal Rubble
diagsteps_2wr*      *3 Steps R5/2 2-way Right
diagsterps_2wr*     *3 Steps R5/2 2-way Right Rubble
diagsteps_r2p*      *3 Steps R5/2 Right to Panel
diagsterps_r2p*     *3 Steps R5/2 Right to Panel Rubble
diagsteps_52rh		*3 Steps R5/2 Right to Horizontal
diagsterps_52rh*	*3 Steps R5/2 Right to Horizontal Rubble
diagsteps_2wl*      *3 Steps R5/2 2-way Left
diagsterps_2wl*     *3 Steps R5/2 2-way Left Rubble
diagsteps_l2p*      *3 Steps R5/2 Left to Panel
diagsterps_l2p*     *3 Steps R5/2 Left to Panel Rubble
diagsteps_52rv		*2 Steps R5/2 Right to Vert
diagsterps_52rv*	*2 Steps R5/2 Right to Vert Rubble
diagsteps_57vr*		*2 Steps R5/2 7/8 Vert to Right
diagsterps_57vr*	*2 Steps R5/2 7/8 Vert to Right Rubble
diagsteps_52lv		*2 Steps R5/2 Left to Vert
diagsterps_52lv*	*2 Steps R5/2 Left to Vert Rubble
diagsteps_57vl*		*2 Steps R5/2 7/8 Vert to Left
diagsterps_57vl*	*2 Steps R5/2 7/8 Vert to Left Rubble
stair_2of3			2/3 Step
strubl_2of3*			2/3 Step Rubble
stair_3_half_l		Half 3 Step
strubl_3_half_l*		Half 3 Step Rubble
stair_half			Half 2 Step Left
strubl_half*			Half 2 Step Left Rubble
stair_2of3h		Half 2/3 Step
strubl_2of3h*		Half 2/3 Step Rubble
stair_7				Inner 2 Step
strubl_7*				Inner 2 Step Rubble
stair_5				Outer 2 step
stair_4				Outer Tet step
strubl_5*				Outer 2 step Rubble
stair_941			Outer 3 step
strubl_941*			Outer 3 step Rubble
stair_5of14			Outer 2/3 step
strubl_5of14*			Outer 2/3 step Rubble
stair_3_inner			Inner 3 Step
strubl_3_inner*			Inner 3 Step Rubble
stair_2of3_inner		Inner 2/3 Step
strubl_2of3_inner*		Inner 2/3 Step Rubble
}

sto4.lua #{}89
stones: {
roch				*3 Lowhalf
ruvl*				*3 Lowhalf Rubble
rodhr*				*3 Dual Hexatess Lowhalf Red
rudhr*				*3 Dual Hexatess Lowhalf Red Rubble
rodhb*				*3 Dual Hexatess Lowhalf Blue
rudhb*				*3 Dual Hexatess Lowhalf Blue Rubble
pyra				Square Based Pyramid
pyru*				Square Based Pyramid Rubble
pemra*              Square Based Pyramid Emerald
pyra_2				Square Based Pyramid HighHalf
pyru_2*				Square Based Pyramid HighHalf Rubble
pyre				Square Based Pyramid Edged
pyrue*				Square Based Pyramid Edged Rubble
estamp				Star Pyramid
sku_20				*3 Diagonal SkewSlab CornerVac
skub_20*			*3 Diagonal SkewSlab CornerVac
sku_207*			*3 Diagonal SkewSlab CornerVac
skub_207*			*3 Diagonal SkewSlab CornerVac Rubble
sku_20k*			*3 Diagonal SkewSlab CornerVac Siding
skub_20k*			*3 Diagonal SkewSlab CornerVac Siding Rubble
sku_202			    *3 Diagonal SkewSlab CornerVac Half
skub_202*			*3 Diagonal SkewSlab CornerVac Half Rubble
sku_207l*			*3 Diagonal SkewSlab CornerVac Half 7/32
skub_207l*			*3 Diagonal SkewSlab CornerVac Half 7/32 Rubble
sku_207r*			*3 Diagonal SkewSlab CornerVac Half 7/32
skub_207r*			*3 Diagonal SkewSlab CornerVac Half 7/32 Rubble
skud_202r			Diagonal SkewSlab CornerVac Right
skrud_202r*			Diagonal SkewSlab CornerVac Right Rubble
octa				Octahedron
diagstep_2			*2 Diagonal Step 1/8
diagsterp_2*		*2 Diagonal Step 1/8 Rubble
diagstep_2s			*2 Diagonal Step 1/8
diagsterp_2s*		*2 Diagonal Step 1/8 Rubble
diagstep_7			*4 Diagonal Step 7/8
diagsterp_7*		*4 Diagonal Step 7/8 Rubble
diagstep_6*			*4 Diagonal Step 3/4
diagsterp_6*		*4 Diagonal Step 3/4 Rubble
diagstep_3*			*4 Diagonal Step 3/8
diagsterp_3*		*4 Diagonal Step 3/8 Rubble
s_52d*			    *4 R5/2 Slope LowHalf Double L&R
sb_52d*			    *4 R5/2 Slope LowHalf Double L&R Rubble
diaq				Diagonal 1/4
diraq*				Diagonal 1/4 Rubble
diagsteps_8l		*2 Diagonal Half-N-Eighth Steps Left
diagsterps_8l*		*2 Diagonal Half-N-Eighth Steps Left Rubble
diagsteps_38l*		*2 Diagonal 3/8 Steps Left
diagsterps_38l*		*2 Diagonal 3/8 Steps Left Rubble
diagsteps_8r		Diagonal Half-N-Eighth Steps Right
diagsterps_8r*		Diagonal Half-N-Eighth Steps Right Rubble
diagsteps_38r*		Diagonal 3/8 Steps Right
diagsterps_38r*		Diagonal 3/8 Steps Right Rubble
spirdiag_r			Diagonal Spiral Steps Right
spirblag_r*			Diagonal Spiral Steps Right Rubble
spirdiag_l			Diagonal Spiral Steps Left
spirblag_l*			Diagonal Spiral Steps Left Rubble
spirdiag				Diagonal Spiral Slab
spirblag*				Diagonal Spiral Slab Rubble
spircol_8			Spiral Step Column 8 Sides
spircobl_8*			Spiral Step Column 8 Sides Rubble
spirstax_r			*4 Spiral StepSide Extd Right
spirblux_r*			*4 Spiral StepSide Extd Right Rubble
spirstax_3r			*4 Spiral StepSide Extd 3/4 Right
spirblux_3r*		*4 Spiral StepSide Extd 3/4 Right Rubble
spirstax_qr*		*4 Spiral StepSide Extd Quart Right
spirblux_qr*		*4 Spiral StepSide Extd Quart Right Rubble
spirstax_hr*		*4 Spiral StepSide Extd Half Right
spirblux_hr*		*4 Spiral StepSide Extd Half Right Rubble
spirstax_l			*4 Spiral StepSide Extd Left
spirblux_l*			*4 Spiral StepSide Extd Left Rubble
spirstax_3l			*4 Spiral StepSide Extd 3/4 Left
spirblux_3l*		*4 Spiral StepSide Extd 3/4 Left Rubble
spirstax_ql*		*4 Spiral StepSide Extd Quart Left
spirblux_ql*		*4 Spiral StepSide Extd Quart Left Rubble
spirstax_hl*		*4 Spiral StepSide Extd Half Left
spirblux_hl*		*4 Spiral StepSide Extd Half Left Rubble
spirout_l			Spiral Step-Out Extd Left
spirbut_l*			Spiral Step-Out Extd Left Rubble
spirout_r			Spiral Step-Out Extd Right
spirbut_r*			Spiral Step-Out Extd Right Rubble
spircod				Spiral Column Unit Diag
spircob*				Spiral Column Unit Diag Rubble
spirjoin				Spiral Column Wall Joinder
spijrubl*				Spiral Column Wall Joinder Rubble
spirjoin2			Spiral Column Wall Joinder Lowhalf
spijrubl2*			Spiral Column Wall Joinder Lowhalf Rubble
spirjoin_2l			Spiral Column Wall Joinder Left Lowhalf
spijrubl_2l*			Spiral Column Wall Joinder Left Lowhalf Rubble
spirjoin_2r			Spiral Column Wall Joinder Right Lowhalf
spijrubl_2r*			Spiral Column Wall Joinder Right Lowhalf Rubble
}

sto5.lua #{}66
stones: {
plot				Plot
prob*				Plot Rubble
shrub			   	Dry Shrub
shub*                Dry Shrub Sans Lum ..[5/25->shrub]†
sub*                 Dry Shrub Sans Flors ExLum ..[4/15->shurb]†
shurb*               Dry Shrub Just Flors
blus*                Dry Bush Sans Flor Sans Flwrs ..[5/20->blis]†
blis*                Dry Bush Sans Flor ..[3/10->bush]†
bush*                Dry Bush
blom*                Dry Bloom Sans Flwrs ..[4/25->bloom]†
bloom*               Dry Bloom
su*                  Dry Shrub Sans Lum Sans Flors ..[7/20->shub]†
delum*              Dodeca-Lum
denum*              Dodeca-Lum-Nil
isokar*				Icosahedron Flamed
isodark				Icosahedron Dark
isocol				Pentagonal Column
irocol*				Pentagonal Column Rubble
iso54				Pentagon / Square Joiner
isor54*				Pentagon / Square Joiner Rubble
estruk				Star Struck HalfSlab
estruble*				Star Struck HalfSlab Rubble
steps				Steps
stru*				Steps Rubble
diagsteps_13		Quart to 3 Quart Steps
diagsterps_13*		Quart to 3 Quart Steps Rubble
diagsteps_31		3 Quart to Quart Steps
diagsterps_31*		3 Quart to Quart Steps Rubble
cish				Round Corner Slab
crish*				Round Corner Slab Rubble
cis					Round Corner
cris*				Round Corner Rubble
hex					Hexagonal Prism R3
hrex*				Hexagonal Prism R3 Rubble
hexp				Hexagonal Lattice Pyramid Joinder
hrexp*				Hexagonal Lattice Pyramid Joinder Rubble
hexar				Hexagonal Lattice Arrowhead Joinder
hrexar*				Hexagonal Lattice Arrowhead Joinder Rubble
arschil				Shallow to Arch Left Slim
aruschil*				Shallow to Arch Left Slim Rubble
arcshil				Arch to Shallow Left Slim
arucshil*				Arch to Shallow Left Slim Rubble
arschir				Shallow to Arch Right Slim
aruschir*				Shallow to Arch Right Slim Rubble
arcshir				Arch to Shallow Right Slim
arucshir*				Arch to Shallow Right Slim Rubble
diagsteps_52s		*2 Steps R5/2 S
diagsterps_52s*		*2 Steps R5/2 S Rubble
diagsteps_58s*		*2 Steps R5/2 5/8 S
diagsterps_58s*		*2 Steps R5/2 5/8 S Rubble
diagsteps_52z		*2 Steps R5/2 Z
diagsterps_52z*		*2 Steps R5/2 Z Rubble
diagsteps_58z*		*2 Steps R5/2 5/8 Z
diagsterps_58z*		*2 Steps R5/2 5/8 Z Rubble
dias52r				R5/2 Diagstep Siding R
diras52r*			R5/2 Diagstep Siding R Rubble
dias52l				R5/2 Diagstep Siding R
diras52l*			R5/2 Diagstep Siding R Rubble
dias52d				R5/2 Diagstep Siding D
diras52d*				R5/2 Diagstep Siding D Rubble
dias52b				R5/2 Diagstep Siding B
diras52b*				R5/2 Diagstep Siding B Rubble
vsedr				Part Lowhalf Vsect D
vsrud*				Part Lowhalf Vsect D Rubble
vsedl				Part Lowhalf Vsect A
vsudl*				Part Lowhalf Vsect A Rubble

}

sto6.lua, sto7.lua #{}67,61		
stones:{				
c8[s][h](+*)				8-Cycle R5/2 Diagstep {L/R}{123456789abcdef}:(+Rubble) {2468abdf}:(+Covolume 16) {1346acf}:(+Tops 14)
![h] is a hex from 1 to f
!![s] is 'l' or 'r'
dragon              Classic Spyro Dragon Statue
kow                 Cow Gate Statue
bear                Bear of the Brush
hudi                Mister Hudi
wiz                 Poleman Wizero
modk                Monkey Don
defr                Deputy Frog

pemra               Square Based Pyramid Emerald

--Those labelled '*' after nodename are not in the creative 8-page menu ie:'isokar*'
--Those which shape-shift with popper/rubler staff have * followed by cycle order at beginning of hovertext descriptions ie: *2 R5/2 Slope HighHalf Left Rubble. 
sus.lua
--Those labelled with a pair of numbers followed by a dagger symbol ('..[a/b]†) give interval of abm step and chance of morphing per step for those nodes which morph to more advanced stages.
stones:[
flat_O               Flat 'O'
srawb*               Lum Nininikus +6HP
flor*                Lum Nininikus Flor +1HP
flwr*                Lum Nininikus Flwr -2HP
bulb*                Lum Nininikus Bulb -6HP
